session,trial,begFrame,endFrame,Var5
1,1,1,3604,recording_20150701_142342.tif
1,2,3605,7217,recording_20150701_142700.tif
1,3,7218,10874,recording_20150701_143308.tif
1,4,10875,14570,recording_20150701_143916.tif
1,5,14571,18186,recording_20150701_144533.tif
1,6,18187,21891,recording_20150701_145140.tif
1,7,21892,25519,recording_20150701_145459.tif
