session,trial,begFrame,endFrame,Var5
1,1,1,3627,recording_20150713_143548.tif
1,2,3628,7239,recording_20150713_143907.tif
1,3,7240,10849,recording_20150713_144515.tif
1,4,10850,14452,recording_20150713_145121.tif
1,5,14453,18296,recording_20150713_145725.tif
1,6,18297,21907,recording_20150713_150352.tif
1,7,21908,25511,recording_20150713_150708.tif
