session,trial,begFrame,endFrame,Var5
1,1,1,3598,recording_20150731_104555.tif
1,2,3599,7216,recording_20150731_104916.tif
1,3,7217,10813,recording_20150731_105527.tif
1,4,10814,14480,recording_20150731_110152.tif
1,5,14481,18074,recording_20150731_110800.tif
1,6,18075,21689,recording_20150731_111404.tif
1,7,21690,25289,recording_20150731_111725.tif
