session,trial,begFrame,endFrame,Var5
1,1,1,3607,recording_20150709_102709.tif
1,2,3608,7230,recording_20150709_103025.tif
1,3,7231,10874,recording_20150709_103635.tif
1,4,10875,14477,recording_20150709_104249.tif
1,5,14478,18188,recording_20150709_104908.tif
1,6,18189,21799,recording_20150709_105535.tif
1,7,21800,25408,recording_20150709_105904.tif
