session,trial,begFrame,endFrame,Var5
1,1,1,3597,recording_20151031_111531.tif
1,2,3598,7208,recording_20151031_111854.tif
1,3,7209,10813,recording_20151031_112508.tif
1,4,10814,14434,recording_20151031_113218.tif
1,5,14435,18037,recording_20151031_113850.tif
1,6,18038,21642,recording_20151031_114501.tif
1,7,21643,25264,recording_20151031_114821.tif
