session,trial,begFrame,endFrame,Var5
1,1,1,3605,recording_20151029_155515.tif
1,2,3606,7206,recording_20151029_155835.tif
1,3,7207,10825,recording_20151029_160446.tif
1,4,10826,14457,recording_20151029_161100.tif
1,5,14458,18106,recording_20151029_161713.tif
1,6,18107,21711,recording_20151029_162323.tif
1,7,21712,25310,recording_20151029_162637.tif
