session,trial,begFrame,endFrame,Var5
1,1,1,3601,recording_20151104_160605.tif
1,2,3602,7207,recording_20151104_160925.tif
1,3,7208,10812,recording_20151104_161538.tif
1,4,10813,14420,recording_20151104_162200.tif
1,5,14421,18025,recording_20151104_162829.tif
1,6,18026,21649,recording_20151104_163448.tif
1,7,21650,25248,recording_20151104_163811.tif
