session,trial,begFrame,endFrame,Var5
1,1,1,3600,recording_20151102_103831.tif
1,2,3601,7205,recording_20151102_104147.tif
1,3,7206,10813,recording_20151102_104757.tif
1,4,10814,14443,recording_20151102_105414.tif
1,5,14444,18048,recording_20151102_110021.tif
1,6,18049,21647,recording_20151102_110628.tif
1,7,21648,25246,recording_20151102_110943.tif
